 Number , Customer Name , Clsd , Rep , PL , Group , Jan-Dec 2014 , Jan-Dec 2013 , Variance ,% Chng
 PM787AT , PROFORMA MYCO PRINT SOLUTIONS ,, 132-Lori Eaton , 2 , Promotional , $-   , $772.27 , $(772.27),-100.0%
 BB761FT , PROMO PLANET ,, 132-Lori Eaton , 1 , Promotional ," $2,712.86 ", $121.59 ," $2,591.27 ",2131.2%
 QS730PO , QUICK SIGNS ,, 132-Lori Eaton , 1 , Corporate , $-   , $266.22 , $(266.22),-100.0%
 RR751KT , R AND R SCREEN GRAPHICS ,, 132-Lori Eaton , 1 , Promotional , $-   , $364.69 , $(364.69),-100.0%
 RE761FT , RED DOG STUDIOS INC ,, 132-Lori Eaton , 2 , Promotional ," $1,226.38 ", $-   ," $1,226.38 ",100.0%
 RI760AT , RENO INDUSTRIES COMPANY LLC ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 RP731OO , ROADRUNNER PROMOTIONS ,, 132-Lori Eaton , 1 , Promotional , $195.56 , $22.10 , $173.46 ,784.9%
 RO731OO , ROBYN PROMOTIONS ,, 132-Lori Eaton , 1 , Promotional , $125.37 , $-   , $125.37 ,100.0%
 SG752DT , SAFEGUARD ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 SC794LT , SCARBOROUGH SPECIALTIES INC ,, 132-Lori Eaton , 3 , Promotional ," $55,091.24 "," $34,065.04 "," $21,026.20 ",61.7%
 SO791AT , SOUTHWEST SALES PROMOTION ,, 132-Lori Eaton , 1 , Promotional ," $3,875.37 ", $376.11 ," $3,499.26 ",930.4%
 SO731OO , SPECIAL OPS UNIFORMS INC ,, 132-Lori Eaton , 1 , Specialty Retail ," $2,529.19 "," $3,433.71 ", $(904.52),-26.3%
 SJ794LT , STEPHEN JOSEPH INC ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 SS740SO , STILLWATER SCREENPRINTING ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 ST731OO , STITCH N PRINT INC ,, 132-Lori Eaton , 1 , Decorator , $-   , $91.59 , $(91.59),-100.0%
 ST654EO , STITCHES AHEAD ,, 132-Lori Eaton , 1 , Decorator , $555.05 , $378.24 , $176.81 ,46.7%
 ST797ST , STITCHES TO A T ,, 132-Lori Eaton , 1 , Corporate , $123.74 , $-   , $123.74 ,100.0%
 SI797OT , STOUT IMAGES INC ,, 132-Lori Eaton , 2 , Promotional ," $15,940.79 "," $4,637.73 "," $11,303.06 ",243.7%
 TS748SO , T S & H SHIRT COMPANY INC ,, 132-Lori Eaton , 1 , Promotional , $707.08 , $844.87 , $(137.79),-16.3%
 TS761NT , TBD SALES INC ,, 132-Lori Eaton , 1 , Promotional ," $3,052.67 "," $6,464.67 "," $(3,412.00)",-52.8%
 TA758PT , TEXAS AD PRINT ,, 132-Lori Eaton , 1 , Promotional , $435.50 , $-   , $435.50 ,100.0%
 CC756LT , THE CLOWERS COMPANY ,, 132-Lori Eaton , 1 , Decorator ," $1,888.71 "," $3,024.54 "," $(1,135.83)",-37.6%
 FT774ST , THE FINER THINGS ,, 132-Lori Eaton , 1 , Promotional , $752.04 , $-   , $752.04 ,100.0%
 JP750LT , THE J PAUL COMPANY ,, 132-Lori Eaton , 3 , Promotional ," $5,295.44 "," $1,117.33 "," $4,178.11 ",373.9%
 JP751MT , THE JL PITTS COMPANY ,, 132-Lori Eaton , 1 , Promotional ," $5,907.48 ", $-   ," $5,907.48 ",100.0%
 PG750GT , THE PAYTON GROUP ,, 132-Lori Eaton , 1 , Promotional ," $1,783.14 "," $1,737.17 ", $45.97 ,2.6%
 TH750RT , THE RICHEY COMPANY ,, 132-Lori Eaton , 1 , Promotional , $493.69 , $-   , $493.69 ,100.0%
 TH750PT , THREADS IN MOTION ,, 132-Lori Eaton , 1 , Decorator , $373.00 , $629.03 , $(256.03),-40.7%
 TS797KT , TOTALLY SHARP ,, 132-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 TR735TO , TREEHOUSE EMBROIDERY ,, 132-Lori Eaton , 1 , Decorator , $-   , $-   , $-   ,0.0%
 TU786RT , TUMBLEWEED EMBROIDERY & MONOGR ,, 132-Lori Eaton , 1 , Decorator ," $2,461.07 ", $-   ," $2,461.07 ",100.0%
 UD794LT , U DAWG GRAPHICS ,, 132-Lori Eaton , 1 , Decorator ," $4,250.92 "," $3,491.84 ", $759.08 ,21.7%
 VE731OO , VERSATEQ LLC ,, 132-Lori Eaton , 1 , Promotional , $-   , $15.10 , $(15.10),-100.0%
 VI760AT , VISUAL IMPACT SPECIALTIES ,, 132-Lori Eaton , 1 , Promotional ," $4,748.78 "," $2,913.02 "," $1,835.76 ",63.0%
 TW767WT , W PROMOTIONS ,, 132-Lori Eaton , 1 , Promotional , $888.41 , $318.52 , $569.89 ,178.9%
 WI754WT , WILLIE GREEN ADV SPECIALITY ,, 132-Lori Eaton , 1 , Promotional ," $2,533.89 "," $2,018.24 ", $515.65 ,25.5%
 WI768BT , WILLIES TS ,, 132-Lori Eaton , 1 , Promotional ," $7,355.15 ", $922.65 ," $6,432.50 ",697.2%
,,,,,,,,,
,,,,,," $386,833.88 "," $243,873.52 "," $142,960.36 ",58.6%
,,,,,,,,,
,,,,,,,,,
